,xr,linear_reg,k2,k3,k5,k10,k30,k500,k100,k300
1751,2451,2133.78642902053,2453.5,2449.6666666666665,2320.2,2340.8,2220.5,2054.09,2180.86,2147.23
1752,2452,2134.876066801883,2453.5,2449.6666666666665,2371.2,2345.7,2220.5,2052.164,2182.02,2148.09
1753,2453,2135.9657045832373,2464.5,2324.3333333333335,2371.2,2345.7,2214.5666666666666,2052.164,2182.02,2148.09
1754,2454,2137.0553423645906,2243.0,2316.3333333333335,2371.2,2345.7,2160.4333333333334,2052.164,2182.93,2148.09
1755,2455,2138.144980145944,2243.0,2316.3333333333335,2371.2,2345.7,2160.4333333333334,2052.164,2182.02,2148.09
1756,2456,2139.234617927298,2253.5,2316.3333333333335,2371.2,2345.7,2160.4333333333334,2052.164,2196.25,2148.09
1757,2457,2140.3242557086514,2253.5,2316.3333333333335,2371.2,2345.7,2160.8,2052.164,2196.25,2148.09
1758,2458,2141.4138934900056,2253.5,2316.3333333333335,2371.2,2351.8,2160.8,2052.164,2196.25,2148.09
1759,2459,2142.503531271359,2253.5,2316.3333333333335,2371.2,2220.5,2160.8,2052.164,2196.25,2148.09
1760,2460,2143.593169052713,2253.5,2316.3333333333335,2379.6,2220.4,2160.8,2052.164,2199.05,2148.09
1761,2461,2144.6828068340665,2253.5,2316.3333333333335,2360.4,2227.8,2160.8,2052.164,2203.15,2148.09
1762,2462,2145.7724446154198,2462.5,2323.0,2360.4,2227.8,2160.8,2052.164,2203.15,2148.09
1763,2463,2146.862082396774,2462.5,2438.6666666666665,2360.4,2227.8,2161.9666666666667,2052.164,2205.77,2144.806666666667
1764,2464,2147.9517201781273,2426.5,2438.6666666666665,2070.4,2245.6,2161.9666666666667,2052.164,2205.77,2144.806666666667
1765,2465,2149.0413579594815,2426.5,1948.3333333333333,2103.0,2245.6,2163.5,2052.164,2205.77,2144.806666666667
1766,2466,2150.130995740835,2426.5,1948.3333333333333,2084.4,2230.1,2202.8333333333335,2052.164,2205.45,2144.806666666667
1767,2467,2151.220633522189,2426.5,1948.3333333333333,2084.4,2230.1,2202.8333333333335,2052.164,2205.45,2144.806666666667
1768,2468,2152.3102713035423,2426.5,1948.3333333333333,2084.4,2235.8,2240.0,2052.164,2205.45,2144.806666666667
1769,2469,2153.3999090848965,2426.5,1948.3333333333333,2084.4,2235.8,2240.0,2052.164,2208.4,2144.806666666667
1770,2470,2154.48954686625,2426.5,1948.3333333333333,2084.4,2257.8,2240.0,2052.164,2211.22,2144.806666666667
1771,2471,2155.579184647603,2426.5,1948.3333333333333,2084.4,2070.7,2240.0,2052.164,2211.22,2146.6866666666665
1772,2472,2156.6688224289574,1599.5,1863.3333333333333,2084.4,2070.7,2245.233333333333,2052.164,2211.22,2149.7733333333335
1773,2473,2157.7584602103107,1599.5,1856.3333333333333,2111.6,2070.7,2254.1666666666665,2052.164,2216.37,2152.1966666666667
1774,2474,2158.848097991665,1681.0,1856.3333333333333,2111.6,2070.7,2254.1666666666665,2052.164,2216.37,2152.1966666666667
